OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,PlotIdentity,PlotNum,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord
162,2924,1,acepe,3,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,471338.9328,93113.9103
151,2913,1,acepe,3,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,471334.2486,93121.0641
150,2912,1,acepe,3,3,9,4,0,0,10,2,0,0,1,2,0,0,2.2,0.8,471336.3558,93116.8612
661,2117,1,acepe,3,3,9,4,0,0,0,0,0,0,1,2,0,0,0.2,0.4,471334.549,93112.6831
657,2115,1,acepe,3,3,9,4,0,0,5,2,0,0,5,2,0,0,2,0.8,471336.3257,93112.6242
654,2112,1,acepe,3,3,9,4,0,0,1,1,0,0,0,0,1,2,0.4,0.6,471336.1478,93113.487
629,1926,1,acepe,3,3,9,4,0,0,0,0,100,0,1,2,0,0,20.2,0.4,471338.1165,93114.3363
616,1913,1,acepe,3,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,471341.8176,93103.9222
615,1912,1,acepe,3,3,9,4,0,0,0,0,0,0,1,1,0,0,0.2,0.2,471338.3376,93109.1499
383,1818,1,acepe,3,3,9,4,1,1,1,1,0,0,2.5,1,0,0,0.9,0.6,471339.953,93107.7937
68,89,1,acepe,3,3,24,14,1,2,0,0,0,0,5,2,0,0,1.2,0.8,471578.0353,91562.3567
64,85,1,acepe,3,3,24,14,0,0,0,0,0,0,0,0,0,0,0,0,471580.0949,91554.9041
63,84,1,acepe,3,3,24,14,0,0,0,0,0,0,0,0,0,0,0,0,471580.5206,91556.4368
61,82,1,acepe,3,3,24,14,0,0,0,0,1,2,1,2,0,0,0.4,0.8,471581.1119,91555.2203
188,76,1,acepe,3,3,24,14,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471581.2704,91560.5044
135,291,1,acepe,3,3,28,15,0,0,5,2,5,0,1,2,0,0,2.2,0.8,470516.125,92719.2291
712,241,1,acepe,3,3,28,15,100,0,60,2,0,0,5,2,60,1,45,1,470514.8273,92718.6545
782,236,1,acepe,3,3,28,15,0,0,0,0,0,0,0,0,0,0,0,0,470515.4784,92715.253
769,233,1,acepe,3,3,28,15,0,0,0,0,0,0,1,1,0,0,0.2,0.2,470512.5801,92717.6447
768,232,1,acepe,3,3,28,15,1,1,5,1,0,0,5,1,0,0,2.2,0.6,470513.0769,92719.233
765,231,1,acepe,3,3,28,15,0,0,10,1,10,1,1,1,5,2,5.2,1,470514.3886,92716.3803
651,219,1,acepe,3,3,28,15,0,0,0,0,5,1,0,0,0,0,1,0.2,470515.3021,92726.3674
650,218,1,acepe,3,3,28,15,0,0,0,0,35,2,0,0,0,0,7,0.4,470513.6011,92721.6561
649,217,1,acepe,3,3,28,15,0,0,0,0,0,0,1,2,0,0,0.2,0.4,470515.507,92722.593
648,216,1,acepe,3,3,28,15,0,0,0,0,1,1,0,0,1,1,0.4,0.4,470510.8609,92717.81
647,215,1,acepe,3,3,28,15,0,0,1,1,0,0,0,0,5,1,1.2,0.4,470510.5299,92718.5144
646,214,1,acepe,3,3,28,15,0,0,1,1,0,0,5,1,0,0,1.2,0.4,470509.1861,92723.5286
642,211,1,acepe,3,3,28,15,0,0,1,1,0,0,5,1,0,0,1.2,0.4,470504.0731,92719.2243
400,179,1,acepe,3,3,28,15,0,0,0,0,1,1,1,1,0,0,0.4,0.4,470510.917,92718.7871
399,178,1,acepe,3,3,28,15,0,0,0,0,0,0,0,0,0,0,0,0,470511.6334,92716.7539
398,177,1,acepe,3,3,28,15,1,1,0,0,1,1,0,0,0,0,0.4,0.4,470508.1237,92718.9392
397,176,1,acepe,3,3,28,15,0,0,0,0,0,0,1,1,0,0,0.2,0.2,470507.0112,92720.0962
392,173,1,acepe,3,3,28,15,0,0,0,0,0,0,0,0,0,0,0,0,470513.6542,92710.5697
390,172,1,acepe,3,3,28,15,30,1,0,0,1,1,1,1,0,0,6.4,0.6,470511.3821,92718.1312
387,171,1,acepe,3,3,28,15,1,1,0,0,1,1,0,0,0,0,0.4,0.4,470510.3768,92694.5235
456,141,1,acepe,3,3,28,15,0,0,0,0,0,0,1,2,1,1,0.4,0.6,470505.5805,92720.9764
666,131,1,acepe,3,3,28,15,0,0,5,2,0,0,1,2,0,0,1.2,0.8,470501.8246,92730.4348
378,1816,1,acepe,3,3,29,16,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471599.5575,93647.831
373,1811,1,acepe,3,3,29,16,60,2,0,0,1,2,10,1,0,0,14.2,1,471600.5489,93648.6305
434,1734,1,acepe,3,3,29,16,0,0,0,0,5,1,0,0,40,1,9,0.4,471601.1734,93645.3913
427,1731,1,acepe,3,3,29,16,1,2,25,2,0,0,0,0,0,0,5.2,0.8,471601.3661,93647.2723
412,1718,1,acepe,3,3,29,16,5,1,5,1,20,1,1,2,10,1,8.2,1.2,471601.2999,93648.1177
411,1717,1,acepe,3,3,29,16,1,1,1,1,1,1,1,1,0,0,0.8,0.8,471601.3398,93644.8651
410,1716,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471604.4049,93650.6981
408,1715,1,acepe,3,3,29,16,30,2,0,0,3,1,1,1,20,2,10.8,1.2,471600.6567,93649.5005
407,1714,1,acepe,3,3,29,16,1,2,0,0,25,2,0,0,0,0,5.2,0.8,471602.75,93652.0093
404,1712,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471599.7539,93646.6304
507,1426,1,acepe,3,3,29,16,1,2,5,2,25,1,0,0,0,0,6.2,1,471601.4302,93654.3333
505,1424,1,acepe,3,3,29,16,0,0,5,2,0,0,0,0,1,2,1.2,0.8,471602.1894,93651.1402
687,1321,1,acepe,3,3,29,16,25,2,75,2,30,2,0,0,15,2,29,1.6,471601.7414,93651.0152
134,869,1,acepe,3,3,29,16,25,2,5,2,0,0,0,0,5,2,7,1.2,471602.0806,93651.9812
131,866,1,acepe,3,3,29,16,5,1,60,2,0,0,0,0,0,0,13,0.6,471600.2695,93653.1209
129,862,1,acepe,3,3,29,16,0,0,0,0,0,0,1,2,0,0,0.2,0.4,471600.3873,93654.5169
128,862,1,acepe,3,3,29,16,1,2,0,0,0,0,0,0,1,1,0.4,0.6,471596.2637,93650.3699
125,858,1,acepe,3,3,29,16,0,0,1,2,0,0,0,0,10,2,2.2,0.8,471597.2739,93652.754
120,853,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471598.2579,93652.6114
119,852,1,acepe,3,3,29,16,1,2,0,0,0,0,0,0,1,1,0.4,0.6,471597.3607,93653.0875
116,849,1,acepe,3,3,29,16,1,2,5,2,0,0,5,1,1,2,2.4,1.4,471596.0012,93653.6635
115,848,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471596.2446,93653.5913
110,844,1,acepe,3,3,29,16,0,0,0,0,0,0,5,1,0,0,1,0.2,471596.2352,93652.2317
107,841,1,acepe,3,3,29,16,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471595.9702,93652.2352
99,835,1,acepe,3,3,29,16,0,0,0,0,0,0,1,2,0,0,0.2,0.4,471596.9749,93650.3179
77,817,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471596.818,93650.6021
78,817,1,acepe,3,3,29,16,1,1,1,1,1,2,1,2,1,1,1,1.4,471599.5785,93649.2948
76,816,1,acepe,3,3,29,16,0,0,0,0,0,0,0,0,0,0,0,0,471599.0286,93649.7818
199,714,1,acepe,3,3,29,16,0,0,5,2,0,0,0,0,0,0,1,0.4,471595.8641,93652.5576
143,296,1,acepe,3,3,29,16,50,2,0,0,0,0,0,0,1,2,10.2,0.8,471595.3601,93649.6007
140,293,1,acepe,3,3,29,16,10,1,5,1,0,0,0,0,1,2,3.2,0.8,471595.9024,93650.2695
154,2916,1,aceru,1,1,21,12,10,2,0,0,0,0,1,2,0,0,2.2,0.8,470634.0588,92995.5413
152,2914,1,aceru,1,1,21,12,100,0,100,0,30,2,40,2,50,2,64,1.2,470635.6575,92991.7892
379,1816,1,aceru,1,1,21,12,1,2,0,0,40,2,0,0,10,2,10.2,1.2,470637.253,92993.7588
711,1341,1,aceru,1,1,21,12,1,2,0,0,5,2,5,2,1,2,2.4,1.6,470637.5091,92990.2757
690,1324,1,aceru,1,1,21,12,5,2,1,2,1,2,10,2,1,1,3.6,1.8,470636.1688,92991.7293
114,847,1,aceru,1,1,21,12,0,0,1,2,0,0,5,2,0,0,1.2,0.8,470636.502,92991.8606
98,835,1,aceru,1,1,21,12,10,2,40,2,1,2,0,0,0,0,10.2,1.2,470635.7903,92994.2546
81,820,1,aceru,1,1,21,12,0,0,0,0,1,2,0,0,100,0,20.2,0.4,470637.1539,92993.9652
79,818,1,aceru,1,1,21,12,1,2,0,0,0,0,0,0,0,0,0.2,0.4,470637.0823,92993.9509
196,711,1,aceru,1,1,21,12,1,2,1,2,0,0,0,0,5,2,1.4,1.2,470637.3822,92992.7178
603,2826,1,acesa1,1,1,21,12,5,1,10,1,5,2,10,2,10,2,8,1.6,470639.7576,92994.4201
602,2825,1,acesa1,1,1,21,12,1,2,0,0,1,2,5,2,1,2,1.6,1.6,470641.4525,92993.0224
42,2131,1,acesa1,1,1,21,12,0,0,1,1,5,2,1,2,0,0,1.4,1,470644.0371,92991.6559
812,2021,1,acesa1,1,1,21,12,1,2,5,2,0,0,1,2,0,0,1.4,1.2,470641.6526,92994.1476
428,1732,1,acesa1,1,1,21,12,1,2,1,1,1,1,5,2,1,1,1.8,1.4,470639.0775,92995.3188
406,1713,1,acesa1,1,1,21,12,5,2,0,0,0,0,1,2,1,2,1.4,1.2,470639.3409,92995.2019
453,1511,1,acesa1,1,1,21,12,1,1,0,0,0,0,1,2,5,2,1.4,1,470641.1856,92997.1981
494,1419,1,acesa1,1,1,21,12,1,1,1,1,0,0,0,0,0,0,0.4,0.4,470641.3901,92996.8259
345,1128,1,acesa1,1,1,21,12,10,1,0,0,0,0,0,0,100,0,22,0.2,470642.4338,93001.7759
339,1122,1,acesa1,1,1,21,12,5,2,50,2,0,0,0,0,0,0,11,0.8,470641.7497,92996.09
338,1121,1,acesa1,1,1,21,12,1,2,1,2,0,0,0,0,0,0,0.4,0.8,470642.3948,92993.2972
331,1114,1,acesa1,1,1,21,12,5,2,1,2,1,2,0,0,0,0,1.4,1.2,470643.1645,92997.5775
272,968,1,acesa1,1,1,21,12,5,2,1,2,1,2,0,0,10,2,3.4,1.6,470641.7767,92997.8981
263,959,1,acesa1,1,1,21,12,10,2,0,0,5,1,1,1,0,0,3.2,0.8,470639.8867,92999.8511
239,936,1,acesa1,1,1,21,12,0,0,0,0,1,2,0,0,0,0,0.2,0.4,470640.5475,93000.0878
221,920,1,acesa1,1,1,21,12,1,1,1,2,0,0,0,0,0,0,0.4,0.6,470641.4135,93001.0965
218,917,1,acesa1,1,1,21,12,75,2,10,2,30,2,5,2,10,2,26,2,470272.8391,90325.0475
214,913,1,acesa1,1,1,21,12,30,2,20,2,30,2,1,2,0,0,16.2,1.6,470638.5713,92999.8018
127,861,1,acesa1,1,1,21,12,1,2,0,0,0,0,0,0,0,0,0.2,0.4,470639.4458,92999.7276
121,854,1,acesa1,1,1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,470640.5643,92997.9894
743,513,1,acesa1,1,1,21,12,1,2,0,0,1,2,0,0,10,2,2.4,1.2,470641.5037,92999.423
5,213,1,acesa1,1,1,21,12,0,0,10,1,0,0,1,2,0,0,2.2,0.6,470638.6349,92998.4501
1166,209,1,acesa1,1,1,21,12,1,1,1,2,10,2,0,0,0,0,2.4,1,470640.2623,92999.042
451,159,1,acesa1,1,1,21,12,1,1,1,1,0,0,0,0,0,0,0.4,0.4,470270.2414,90320.8341
450,158,1,acesa1,1,1,21,12,1,2,0,0,0,0,0,0,1,2,0.4,0.8,470638.9031,92999.6136
324,118,1,acesa1,1,1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,470270.2451,90320.3559
210,99,1,acesa1,1,1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,470271.2927,90321.1016
208,97,1,acesa1,1,1,21,12,0,0,1,2,0,0,1,2,0,0,0.4,0.8,470273.7065,90323.2071
181,71,1,acesa1,1,1,21,12,80,2,60,2,40,2,100,2,0,0,56,1.6,470639.5059,92998.4352
311,9108,1,berth,3,3,21,12,10,2,1,1,5,2,50,2,5,2,14.2,1.8,470640.127,92997.9104
580,2814,1,berth,3,3,21,12,5,1,0,0,5,1,4,1,10,1,4.8,0.8,470639.0964,92999.5102
300,998,1,berth,3,3,21,12,0,0,0,0,0,0,0,0,0,0,0,0,470274.1657,90324.4076
268,964,1,berth,3,3,21,12,0,0,10,2,0,0,0,0,0,0,2,0.4,470272.3805,90326.9867
248,944,1,berth,3,3,21,12,0,0,0,0,0,0,0,0,0,0,0,0,470274.0706,90325.206
229,927,1,berth,3,3,21,12,0,0,5,1,0,0,1,2,0,0,1.2,0.6,470273.4041,90325.4982
320,114,1,betle,1,2,14,7,10,2,0,0,1,1,0,0,0,0,2.2,0.6,471108.9467,90606.5206
319,113,1,betle,1,2,14,7,0,0,0,0,0,0,1,1,0,0,0.2,0.2,471108.5286,90608.7615
317,112,1,betle,1,2,14,7,0,0,10,2,0,0,0,0,1,1,2.2,0.6,471104.6571,90609.4142
189,77,1,betle,1,2,14,7,10,1,5,1,0,0,0,0,1,2,3.2,0.8,471102.8516,90608.7546
736,59,1,betle,1,2,14,7,25,2,0,0,10,2,10,2,10,2,11,1.6,471105.0713,90610.2495
730,53,1,betle,1,2,14,7,0,0,0,0,1,1,25,2,0,0,5.2,0.6,471103.9466,90610.99
729,52,1,betle,1,2,14,7,5,2,0,0,0,0,25,2,0,0,6,0.8,471107.3622,90616.1708
611,198,1,betle,1,2,15,8,15,2,2,1,1,2,0,0,1,1,3.8,1.2,469215.4031,88960.0168
607,194,1,betle,1,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,471113.2369,90520.1853
606,193,1,betle,1,2,15,8,1,1,5,1,1,2,0,0,10,1,3.4,1,471108.3095,90515.8945
322,116,1,betle,1,2,15,8,0,0,0,0,0,0,0,0,0,0,0,0,471108.5029,90515.5864
112,846,1,betle,1,2,17,8,10,2,25,2,40,2,10,2,5,2,18,2,471225.4091,90217.442
111,845,1,betle,1,2,17,8,0,0,90,2,1,2,0,0,0,0,18.2,0.8,471227.4569,90216.0671
109,843,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471222.1465,90220.7007
106,840,1,betle,1,2,17,8,60,2,25,2,0,0,0,0,5,2,18,1.2,471222.9843,90221.7965
103,838,1,betle,1,2,17,8,60,2,1,2,5,2,0,0,0,0,13.2,1.2,471226.5487,90216.2209
100,836,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471229.9281,90218.2668
92,829,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471218.2604,90226.0312
90,828,1,betle,1,2,17,8,10,2,1,2,0,0,5,2,5,2,4.2,1.6,471228.5905,90215.3945
88,826,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471229.4655,90216.9268
84,823,1,betle,1,2,17,8,0,0,0,0,0,0,5,2,0,0,1,0.4,471226.1505,90214.5033
83,822,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471225.9122,90214.8205
82,821,1,betle,1,2,17,8,0,0,80,2,10,2,5,2,1,1,19.2,1.4,471220.8945,90216.3567
70,811,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471225.4248,90223.1037
762,527,1,betle,1,2,17,8,10,2,50,2,25,1,1,1,0,0,17.2,1.2,471223.2073,90217.8915
761,526,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471221.5636,90212.3922
758,524,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471224.3268,90216.2817
738,511,1,betle,1,2,17,8,0,0,0,0,1,2,0,0,0,0,0.2,0.4,471218.9288,90214.8099
737,510,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471218.9266,90213.0129
146,298,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471215.6761,90217.4037
144,296,1,betle,1,2,17,8,1,2,5,2,0,0,1,2,1,2,1.6,1.6,471210.7684,90212.4676
540,283,1,betle,1,2,17,8,10,2,5,2,1,2,1,2,30,2,9.4,2,471217.9882,90204.4551
715,244,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471219.1455,90220.5606
643,212,1,betle,1,2,17,8,1,2,1,2,0,0,0,0,0,0,0.4,0.8,471219.883,90218.4755
799,209,1,betle,1,2,17,8,0,0,0,0,0,0,0,0,0,0,0,0,471220.5622,90220.8883
798,208,1,betle,1,2,17,8,5,2,1,2,0,0,0,0,1,2,1.4,1.2,471219.9608,90228.3201
797,207,1,betle,1,2,17,8,0,0,10,2,5,2,10,2,10,2,7,1.6,471218.2073,90217.1553
796,206,1,betle,1,2,17,8,5,2,5,2,25,2,30,2,10,2,15,2,471220.0312,90217.8473
793,203,1,betle,1,2,17,8,5,2,10,2,0,0,0,0,0,0,3,0.8,471218.7929,90215.3529
792,202,1,betle,1,2,17,8,10,2,10,2,1,1,1,1,1,1,4.6,1.4,471223.4136,90222.0986
