OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,HeightClass,BDClass,PlotIdentity,PlotNum,PlotSp.Rich,UnderstorySp.Rich,OverstorySp.Rich,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord,PlotSpRich
754,521,1,linbe,3,3,1,1,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,470181.0678,91621.4149,
564,288,8,linbe,3,3,1,1,5,1,4,4,0,5,2,10,2,0,0,0,0,10,2,5,1.2,470185.1165,91612.099,
565,289,1,linbe,3,3,1,1,5,1,4,4,0,5,1,1,1,1,1,0,0,1,1,1.6,0.8,470178.8801,91616.1511,
195,710,4,linbe,3,3,1,1,5,1,4,4,0,0,0,0,0,1,1,5,1,5,1,2.2,0.6,470181.0966,91617.7702,
693,1327,1,vibac,3,3,1,1,5,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0.2,0,470182.2782,91611.4376,
550,286,1,linbe,3,3,1,1,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,470184.7711,91612.4526,
349,1132,1,linbe,3,3,1,1,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,470180.6126,91611.6371,
555,286,6,linbe,3,3,1,1,5,1,4,4,0,1,2,0,0,0,0,1,2,0,0,0.4,0.8,470183.7771,91611.8709,
192,710,1,linbe,3,3,1,1,5,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,470176.3531,91611.3909,
561,288,2,linbe,3,3,2,1,5,1,4,4,0,0,0,0,0,0,0,1,1,0,0,0.2,0.2,470182.624,91612.833,
745,515,1,linbe,3,3,2,1,5,1,4,4,0,0,0,1,2,1,1,1,1,25,1,5.6,1,470180.7125,91611.5925,
756,522,1,linbe,3,3,2,1,5,1,4,4,0,5,2,0,0,0,0,0,0,1,1,1.2,0.6,470180.7811,91616.9514,
194,710,3,linbe,3,3,2,1,5,1,4,4,0,1,1,0,0,1,1,1,1,5,1,1.6,0.8,470180.4194,91618.2203,
694,1327,2,vibac,3,3,2,1,5,1,4,4,0,10,1,5,1,25,2,1,1,1,1,8.4,1.2,470181.0608,91609.7882,
760,526,1,linbe,3,3,2,1,5,1,4,4,0,0,0,1,1,0,0,0,0,1,2,0.4,0.6,470179.8141,91616.4463,
562,288,3,linbe,3,3,2,2,5,1,4,4,0,1,1,1,1,0,0,0,0,1,1,0.6,0.6,470182.4275,91613.0867,
9,217,1,vibpr,3,3,2,2,5,1,4,4,0,0,0,1,2,0,0,1,2,5,1,1.4,1,470177.9734,91618.5446,
12,2110,1,vibpr,3,3,2,3,5,1,4,4,0,0,0,0,0,1,2,0,0,0,0,0.2,0.4,470179.7192,91612.3371,
